geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
8220,-23.53697898,-46.46406769,sao paulo,SP
8290,-23.54749391,-46.44811417,sao paulo,SP
8270,-23.55732344,-46.46229597,sao paulo,SP
8257,-23.55306636,-46.4264124,sao paulo,SP
8215,-23.5504105,-46.44318078,sao paulo,SP
8275,-23.56964291,-46.4732961,sao paulo,SP
8295,-23.54600752,-46.45876656,sao paulo,SP
8210,-23.54304029,-46.45144483,sao paulo,SP
8280,-23.56478019,-46.47673294,sao paulo,SP
8220,-23.53671661,-46.46525037,sao paulo,SP
8220,-23.53669231,-46.45670461,sao paulo,SP
8210,-23.53517755,-46.44589318,sao paulo,SP
8257,-23.55286828,-46.42581373,sao paulo,SP
8275,-23.57737959,-46.48642193,sao paulo,SP
8280,-23.56257536,-46.47890169,são paulo,SP
8270,-23.56223042,-46.45486239,sao paulo,SP
8280,-23.55993128,-46.47628226,sao paulo,SP
8215,-23.53728685,-46.44634659,sao paulo,SP
8295,-23.54824367,-46.45129768,sao paulo,SP
8285,-23.55066518,-46.46926797,sao paulo,SP
8257,-23.55412853,-46.43092568,sao paulo,SP
8290,-23.56191755,-46.44936537,sao paulo,SP
8240,-23.52067287,-46.43721388,sao paulo,SP
8240,-23.52691719,-46.44770973,sao paulo,SP
8253,-23.54342103,-46.44093611,são paulo,SP
8248,-23.52651655,-46.4373947,sao paulo,SP
8290,-23.55600575,-46.44736295,sao paulo,SP
8260,-23.57133273,-46.42401286,são paulo,SP
8255,-23.5523399,-46.44213571,sao paulo,SP
8245,-23.52996773,-46.42977005,sao paulo,SP
8280,-23.56518349,-46.4703205,sao paulo,SP
8220,-23.53686377,-46.47018574,sao paulo,SP
8215,-23.54012484,-46.44378758,sao paulo,SP
8215,-23.54076587,-46.44488499,sao paulo,SP
8247,-23.53523717,-46.435991,são paulo,SP
8280,-23.55822652,-46.4689878,sao paulo,SP
8253,-23.54434754,-46.44002238,sao paulo,SP
8260,-23.59217281,-46.43532719,sao paulo,SP
8280,-23.56213135,-46.47933421,sao paulo,SP
8285,-23.55299246,-46.47881312,sao paulo,SP
8215,-23.54468069,-46.44396716,sao paulo,SP
8275,-23.57172163,-46.47737823,sao paulo,SP
8240,-23.52458662,-46.44985608,sao paulo,SP
8295,-23.55001047,-46.45056827,sao paulo,SP
8260,-23.55860362,-46.43116233,sao paulo,SP
8265,-23.57828695,-46.4538728,sao paulo,SP
8225,-23.52853302,-46.45828734,sao paulo,SP
8290,-23.5540854,-46.45544643,sao paulo,SP
